run_role,run_id,case,variant,M,N,K,cluster_tasks,logical_waves,model_slot_utilization_pct,median_ms,tflops,nominal_peak_pct,min_round_ms,max_round_ms,round_cv_pct,rounds,calls_per_round,seed_checks_passed,seed_checks_expected,postcheck_passed,postcheck_mismatches,postcheck_evidence,seeds,source_type,per_call_samples_available,reference_scope,initial_original_throughput_ratio,initial_fenced_throughput_ratio,initial_cublas_throughput_ratio,source_results,source_results_sha256
initial,20260918T092500Z,aligned148,cublas,2048,9472,4096,148,2,100.0,0.09905216112732887,1604.3445003458394,71.30420001537064,0.09650368159015973,0.09938858697811763,1.2938102546833359,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,1.0214857615079649,1.022668166795489,1.0,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,tail152,original,2048,9728,4096,152,3,68.46846846846847,0.13705962508916855,1190.7865437529053,52.92384638901802,0.13589077214399972,0.1375310914715131,0.47086414851713976,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,1.0,1.002898204414297,0.7752133586443719,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,tail152,fenced,2048,9728,4096,152,3,68.46846846846847,0.13745685189962387,1187.3453741482538,52.77090551770017,0.13590101192394893,0.1377341858545939,0.5492084207677972,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,0.9971101709011538,1.0,0.7729731245227471,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,tail152,wide,2048,9728,4096,152,3,68.46846846846847,0.1425777060786883,1144.700400481443,50.8755733547308,0.1410905588666598,0.14262762675682703,0.4740275769079401,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,0.9612977292082794,0.9640837665305244,0.7452108413167581,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,tail152,full_late,2048,9728,4096,152,3,68.46846846846847,0.18499007870753606,882.2568128425324,39.211413904112554,0.18388949284950892,0.18646421233812968,0.5465615882947681,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,0.74090257189336,0.7430498589977853,0.5743575711857047,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,tail152,full_early,2048,9728,4096,152,3,68.46846846846847,0.18306047846873602,891.5564878514922,39.62473279339965,0.1824036251505216,0.18479978591203688,0.4875562571380926,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,0.7487122629397928,0.7508821841252831,0.5804117480117849,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,tail152,cublas,2048,9728,4096,152,3,68.46846846846847,0.10625045229991277,1536.0758821742352,68.27003920774378,0.10587989211082459,0.1084343456228574,1.0618047246211075,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,1.2899674507012058,1.2937060400611275,1.0,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,aligned296,original,4096,9472,4096,296,4,100.0,0.20203733334938684,1573.1131204071824,69.91613868476367,0.193712428410848,0.2060264520843824,2.552612044853754,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,1.0,0.9655657105435209,0.9726286876749534,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,aligned296,fenced,4096,9472,4096,296,4,100.0,0.1950803213318189,1629.213944974983,72.4095086655548,0.19303466796875,0.20407168010870616,2.29945761896522,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,1.0356622952539354,1.0,1.0073148591072654,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,aligned296,wide,4096,9472,4096,296,4,100.0,0.19849813371896743,1601.1615522490429,71.16273565551302,0.1937593616048495,0.20606421252091725,2.5009295103223903,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,1.0178298886952266,0.9827816396904394,0.9899705489179821,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
