layer,M,N,K,AI_FLOP_per_byte,compute_roof_TFLOPS,memory_roof_TFLOPS,roof_TFLOPS,predicted_bound,us,TFLOPS,effective_GB_per_s,printed_AI,compute_attainment_pct,memory_attainment_pct,roof_attainment_pct
o_proj,65536,7168,1536,1240.9882777276825,2250,9927.90622182146,2250,compute,686.1,2103.3,1694.8,1241.0,93.5,21.2,93.48000000000002
fused_qkv_a_proj,1,2112,7168,0.9993873817541161,2250,7.995099054032929,7.995099054032929,memory,6.6,4.6,4578.1,1.0,0.2,57.2,57.53524714218073
fused_qkv_a_proj,8,2112,7168,7.9609598492242455,2250,63.687678793793964,63.687678793793964,memory,6.6,36.6,4603.0,8.0,1.6,57.5,57.467944653003244
fused_qkv_a_proj,16,2112,7168,15.844597762743653,2250,126.75678210194923,126.75678210194923,memory,6.7,71.8,4532.0,15.8,3.2,56.6,56.64391191490801
fused_qkv_a_proj,64,2112,7168,61.58396250976308,2250,492.67170007810466,492.67170007810466,memory,9.2,211.2,3429.4,61.6,9.4,42.9,42.86830357142857
fused_qkv_a_proj,256,2112,7168,221.27595884003742,2250,1770.2076707202993,1770.2076707202993,memory,11.2,691.0,3122.7,221.3,30.7,39.0,39.03496812432359
fused_qkv_a_proj,1024,2112,7168,629.1063829787234,2250,5032.851063829788,2250,compute,20.6,1507.4,2396.1,629.1,67.0,30.0,66.99555555555555
fused_qkv_a_proj,4096,2112,7168,1166.6781750924783,2250,9333.425400739827,2250,compute,70.7,1753.7,1503.1,1166.7,77.9,18.8,77.94222222222223
fused_qkv_a_proj,16384,2112,7168,1483.6158369266955,2250,11868.926695413564,2250,compute,269.9,1838.1,1238.9,1483.6,81.7,15.5,81.69333333333333
fused_qkv_a_proj,65536,2112,7168,1591.7165387446114,2250,12733.732309956891,2250,compute,967.0,2052.0,1289.2,1591.7,91.2,16.1,91.2
in_proj_qkvgfab,1,6288,7168,0.9997015470932781,2250,7.997612376746225,7.997612376746225,memory,15.1,6.0,5965.9,1.0,0.3,74.6,75.02239065055889
in_proj_qkvgfab,8,6288,7168,7.98093883598843,2250,63.84751068790744,63.84751068790744,memory,13.1,55.2,6912.7,8.0,2.5,86.4,86.45599398514176
in_proj_qkvgfab,16,6288,7168,15.92393657612843,2250,127.39149260902744,127.39149260902744,memory,13.7,104.9,6588.4,15.9,4.7,82.4,82.34458820727123
in_proj_qkvgfab,64,6288,7168,62.80009808948436,2250,502.40078471587486,502.40078471587486,memory,12.4,466.4,7426.5,62.8,20.7,92.8,92.8342499034442
in_proj_qkvgfab,256,6288,7168,237.82389193752638,2250,1902.591135500211,1902.591135500211,memory,20.5,1126.8,4738.1,237.8,50.1,59.2,59.22449542495911
in_proj_qkvgfab,1024,6288,7168,784.249443207127,2250,6273.995545657016,2250,compute,62.1,1486.0,1894.8,784.2,66.0,23.7,66.04444444444445
in_proj_qkvgfab,4096,6288,7168,1842.6976287816844,2250,14741.581030253476,2250,compute,209.1,1766.0,958.4,1842.7,78.5,12.0,78.4888888888889
in_proj_qkvgfab,16384,6288,7168,2781.044240143148,2250,22248.353921145183,2250,compute,784.3,1883.0,677.1,2781.0,83.7,8.5,83.68888888888888
in_proj_qkvgfab,65536,6288,7168,3186.7350596553247,2250,25493.880477242597,2250,compute,3457.0,1708.9,536.3,3186.7,76.0,6.7,75.95111111111112
dense_down_proj,1,7168,8448,0.9997421863443292,2250,7.997937490754634,7.997937490754634,memory,24.5,4.9,4945.5,1.0,0.2,61.8,61.26579515861743
dense_down_proj,8,7168,8448,7.983529650005063,2250,63.868237200040504,63.868237200040504,memory,23.2,41.7,5223.4,8.0,1.9,65.3,65.29067002333603
dense_down_proj,16,7168,8448,15.934253957561468,2250,127.47403166049175,127.47403166049175,memory,23.8,81.6,5119.0,15.9,3.6,64.0,64.01303774350649
dense_down_proj,64,7168,8448,62.960873036997604,2250,503.68698429598084,503.68698429598084,memory,27.6,280.9,4461.8,63.0,12.5,55.8,55.768762894007025
dense_down_proj,256,7168,8448,240.146192893401,2250,1921.169543147208,1921.169543147208,memory,29.4,1056.3,4398.4,240.1,46.9,55.0,54.98213334517045
dense_down_proj,1024,7168,8448,810.082191780822,2250,6480.657534246576,2250,compute,99.9,1241.1,1532.1,810.1,55.2,19.2,55.16
dense_down_proj,4096,7168,8448,1991.9494736842105,2250,15935.595789473684,2250,compute,268.7,1846.2,926.8,1991.9,82.1,11.6,82.05333333333333
dense_down_proj,16384,7168,8448,3135.628831814416,2250,25085.03065451533,2250,compute,1069.2,1855.9,591.9,3135.6,82.5,7.4,82.48444444444445
dense_down_proj,65536,7168,8448,3661.140507859734,2250,29289.124062877872,2250,compute,4834.3,1641.8,448.5,3661.1,73.0,5.6,72.96888888888888
dense_gate_up_proj,1,16896,7168,0.9998013449370432,2250,7.998410759496346,7.998410759496346,memory,39.8,6.1,6085.9,1.0,0.3,76.1,76.2651504582657
dense_gate_up_proj,8,16896,7168,7.987303731217288,2250,63.89842984973831,63.89842984973831,memory,38.0,51.0,6386.8,8.0,2.3,79.8,79.81416776582792
dense_gate_up_proj,16,16896,7168,15.9492953947812,2250,127.5943631582496,127.5943631582496,memory,38.8,99.8,6259.5,15.9,4.4,78.2,78.21662143195347
dense_gate_up_proj,64,16896,7168,63.19636655089501,2250,505.57093240716006,505.57093240716006,memory,40.6,382.0,6044.8,63.2,17.0,75.6,75.55814140286796
dense_gate_up_proj,256,16896,7168,243.6086508753862,2250,1948.8692070030895,1948.8692070030895,memory,51.5,1203.3,4939.4,243.6,53.5,61.7,61.74349698153409
dense_gate_up_proj,1024,16896,7168,850.8776978417267,2250,6807.021582733813,2250,compute,142.4,1741.4,2046.5,850.9,77.4,25.6,77.39555555555556
dense_gate_up_proj,4096,16896,7168,2258.1766109785203,2250,18065.412887828163,2250,compute,556.7,1782.1,789.2,2258.2,79.2,9.9,79.20444444444445
dense_gate_up_proj,16384,16896,7168,3850.1566632756867,2250,30801.253306205494,2250,compute,2342.7,1694.0,440.0,3850.2,75.3,5.5,75.28888888888889
dense_gate_up_proj,65536,16896,7168,4673.916640938562,2250,37391.33312750849,2250,compute,9136.4,1737.5,371.7,4673.9,77.2,4.6,77.22222222222223
