case,M,N,K,variant,case_status,cluster_tasks,cluster_workers,model_waves,model_task_utilization_percent,gflop,median_ms,tflops,nominal_peak_percent,rounds,calls_per_round,min_round_ms,max_round_ms,round_cv_percent,seed_checks_passed,seed_checks_recorded,seed_checks_expected,post_timing_passed,fully_verified,complete_measurement,relative_original,relative_fenced,cublas_throughput_percent
aligned148,2048,9472,4096,full_early,complete,148,74,2,100.0,158.913789952,0.13234794676303863,1200.7272786522785,53.36565682899016,5,150,0.13136576066414515,0.133926187256972,0.8105512539897727,3,3,3,True,True,True,0.764502772523678,0.7653877110657723,74.842234843791
aligned148,2048,9472,4096,cublas,complete,148,74,2,100.0,158.913789952,0.09905216112732887,1604.3445003458394,71.30420001537064,5,150,0.09650368159015973,0.09938858697811763,1.2938102546833359,3,3,3,True,True,True,1.0214857615079649,1.022668166795489,100.0
tail152,2048,9728,4096,original,complete,152,74,3,68.46846846846847,163.208757248,0.13705962508916855,1190.7865437529053,52.92384638901802,5,150,0.13589077214399972,0.1375310914715131,0.47086414851713976,3,3,3,True,True,True,1.0,1.002898204414297,77.52133586443719
tail152,2048,9728,4096,fenced,complete,152,74,3,68.46846846846847,163.208757248,0.13745685189962387,1187.3453741482538,52.77090551770017,5,150,0.13590101192394893,0.1377341858545939,0.5492084207677972,3,3,3,True,True,True,0.9971101709011538,1.0,77.29731245227471
tail152,2048,9728,4096,wide,complete,152,74,3,68.46846846846847,163.208757248,0.1425777060786883,1144.700400481443,50.8755733547308,5,150,0.1410905588666598,0.14262762675682703,0.4740275769079401,3,3,3,True,True,True,0.9612977292082794,0.9640837665305244,74.5210841316758
tail152,2048,9728,4096,full_late,complete,152,74,3,68.46846846846847,163.208757248,0.18499007870753606,882.2568128425324,39.211413904112554,5,150,0.18388949284950892,0.18646421233812968,0.5465615882947681,3,3,3,True,True,True,0.74090257189336,0.7430498589977853,57.43575711857047
tail152,2048,9728,4096,full_early,complete,152,74,3,68.46846846846847,163.208757248,0.18306047846873602,891.5564878514922,39.62473279339965,5,150,0.1824036251505216,0.18479978591203688,0.4875562571380926,3,3,3,True,True,True,0.7487122629397928,0.7508821841252831,58.041174801178485
tail152,2048,9728,4096,cublas,complete,152,74,3,68.46846846846847,163.208757248,0.10625045229991277,1536.0758821742352,68.27003920774378,5,150,0.10587989211082459,0.1084343456228574,1.0618047246211075,3,3,3,True,True,True,1.2899674507012058,1.2937060400611275,100.0
aligned296,4096,9472,4096,original,complete,296,74,4,100.0,317.827579904,0.20203733334938684,1573.1131204071824,69.91613868476367,5,150,0.193712428410848,0.2060264520843824,2.5526120448537544,3,3,3,True,True,True,1.0,0.9655657105435209,97.26286876749533
aligned296,4096,9472,4096,fenced,complete,296,74,4,100.0,317.827579904,0.1950803213318189,1629.213944974983,72.4095086655548,5,150,0.19303466796875,0.20407168010870616,2.29945761896522,3,3,3,True,True,True,1.0356622952539354,1.0,100.73148591072653
aligned296,4096,9472,4096,wide,complete,296,74,4,100.0,317.827579904,0.19849813371896743,1601.1615522490429,71.16273565551302,5,150,0.1937593616048495,0.20606421252091725,2.5009295103223903,3,3,3,True,True,True,1.0178298886952266,0.9827816396904394,98.99705489179821
aligned296,4096,9472,4096,full_late,complete,296,74,4,100.0,317.827579904,0.2439976539214452,1302.584573236611,57.89264769940493,5,150,0.2425796276330948,0.2524701863527298,1.6378286724178464,3,3,3,True,True,True,0.8280298195589723,0.7995172010736825,80.53655567533717
aligned296,4096,9472,4096,full_early,complete,296,74,4,100.0,317.827579904,0.2442801069219907,1301.078437817682,57.82570834745253,5,150,0.24297045350074767,0.24487168004115423,0.31309241492998585,3,3,3,True,True,True,0.827072396091206,0.7985927458027376,80.44343392223688
aligned296,4096,9472,4096,cublas,complete,296,74,4,100.0,317.827579904,0.1965073063969612,1617.3830160898021,71.8836896039912,5,150,0.18983616014321644,0.1994114132722219,2.106153633919735,3,3,3,True,True,True,1.028141584421571,0.9927382595013557,100.0
aligned148_k8192,2048,9472,8192,original,complete,148,74,2,100.0,317.827579904,0.19630080024401347,1619.0844841636997,71.95931040727555,5,150,0.19092458754777908,0.20356437196334204,2.8413511329939283,3,3,3,True,True,True,1.0,0.9825639022799627,98.61458899888488
aligned148_k8192,2048,9472,8192,fenced,complete,148,74,2,100.0,317.827579904,0.19287808030843734,1647.815964342615,73.236265081894,5,150,0.18987413426240285,0.19476629396279652,1.0697729199298363,3,3,3,True,True,True,1.0177455101694437,1.0,100.3645551908201
aligned148_k8192,2048,9472,8192,wide,complete,148,74,2,100.0,317.827579904,0.1918775475025177,1656.408391918964,73.61815075195396,5,150,0.19162048081556957,0.20418175886074702,2.8035541455666477,3,3,3,True,True,True,1.023052476952457,1.0052144339915878,100.88789953895771
